ds,y,Forecast
2010-02-05,49750740.5,47845108.16272743
2010-02-12,48336677.63,48550474.95400961
2010-02-19,48276993.78,47166609.22383002
2010-02-26,43968571.13,45950197.29829005
2010-03-05,46871470.3,45675418.305997185
2010-03-12,45925396.51,45618876.83010715
2010-03-19,44988974.64,45267831.27517848
2010-03-26,44133961.05,45145696.46881259
2010-04-02,50423831.26,45826440.56053526
2010-04-09,47365290.44,46790157.58935823
2010-04-16,45183667.08,46869695.243142135
2010-04-23,44734452.56,45758476.99914526
2010-04-30,43705126.71,44553576.95182327
2010-05-07,48503243.52,44548484.02194544
2010-05-14,45330080.2,45763614.241243295
2010-05-21,45120108.06,47024525.841050744
2010-05-28,47757502.56,47408474.80127526
2010-06-04,50188543.12,47202925.817635275
2010-06-11,47826546.72,47267681.06681039
2010-06-18,47622046.23,47779760.88505713
2010-06-25,46609036.29,48028248.25654196
2010-07-02,48917484.5,47429397.35722904
2010-07-09,47899529.37,46331798.173243366
2010-07-16,46243899.58,45569842.04625143
2010-07-23,44888849.11,45460000.810229614
2010-07-30,44630363.42,45617768.041562244
2010-08-06,48204999.12,45729251.71118455
2010-08-13,46464418.410000004,46037973.75869882
2010-08-20,47060952.92,46761133.064447895
2010-08-27,45909740.44,47310701.10894504
2010-09-03,47194257.61,46670513.570166126
2010-09-10,45634397.839999996,44729623.93971107
2010-09-17,43080726.51,42827606.14556071
2010-09-24,41358514.41,42499189.100750715
2010-10-01,42239875.87,43724879.695495635
2010-10-08,45102974.230000004,44890033.95081246
2010-10-15,43149473.45,44704497.818425454
2010-10-22,43066669.52,43822072.17759366
2010-10-29,43602830.95,44089418.30418734
2010-11-05,45781981.89,46284423.367276646
2010-11-12,46124800.83,49186089.56962752
2010-11-19,45125584.18,51257402.45010474
2010-11-26,65821003.24,52812652.11659096
2010-12-03,49909027.88,55643823.816410795
2010-12-10,55666770.39,60185045.558829114
2010-12-17,61820799.85,63654042.26162481
2010-12-24,80931415.6,62016523.99988112
2010-12-31,40432519.0,54225008.52644768
2011-01-07,42775787.769999996,44166180.229718685
2011-01-14,40673678.04,37793041.08857949
2011-01-21,40654648.03,38081336.056463
2011-01-28,39599852.99,42836168.84798785
2011-02-04,46153111.12,47307477.76829304
2011-02-11,47336192.79,48603858.46248373
2011-02-18,48716164.12,47424541.54166456
2011-02-25,44125859.839999996,46074660.5197964
2011-03-04,46980603.74,45673988.60785685
2011-03-11,44627319.4,45657057.9800765
2011-03-18,44872325.97,45358187.7001001
2011-03-25,42876199.18,45146631.07261338
2011-04-01,43458991.19,45700527.14894603
2011-04-08,45887466.8,46714582.96036304
2011-04-15,44973328.14,47032105.25474246
2011-04-22,48676692.06,46101003.457052924
2011-04-29,43530032.78,44814671.35249009
2011-05-06,46861958.29,44561723.12475697
2011-05-13,45446144.82,45641048.681693405
2011-05-20,44046598.01,47004565.641924605
2011-05-27,45293457.04,47574523.07170074
2011-06-03,48771994.18,47424946.66550896
2011-06-10,47669734.660000004,47412298.46642751
2011-06-17,47447561.77,47895531.81614447
2011-06-24,45884094.58,48269357.46510901
2011-07-01,47578519.5,47840078.677032426
2011-07-08,47859263.78,46785574.87238516
2011-07-15,45515929.92,45931137.30654756
2011-07-22,45274411.39,45735329.18099528
2011-07-29,43683274.28,45897708.06099176
2011-08-05,48015466.97,46029137.61084644
2011-08-12,46249569.21,46287795.29441225
2011-08-19,46917347.62,46968399.19384602
2011-08-26,47416948.45,47642340.97380224
2011-09-02,45376623.27,47281090.49454593
2011-09-09,46763227.53,45524585.92060277
2011-09-16,43793960.08,43497344.50772278
2011-09-23,42718096.73,42845214.31684935
2011-09-30,42195830.81,43899131.89973875
2011-10-07,47211688.36,45225398.13914843
2011-10-14,44374820.3,45310283.894773856
2011-10-21,45818953.44,44436929.43895168
2011-10-28,45855821.05,44397215.16104397
2011-11-04,48655544.3,46302552.18692605
2011-11-11,48474224.75,49230491.68123724
2011-11-18,46438980.56,51509005.91475223
2011-11-25,66593605.26,53048892.656314135
2011-12-02,49390556.49,55550383.217481285
2011-12-09,55561147.699999996,59910142.7042895
2011-12-16,60085695.94,63895101.95943525
2011-12-23,76998241.31,63392200.46130681
2011-12-30,46042461.04,56554097.49611961
2012-01-06,44955421.95,46463860.90907409
2012-01-13,42023078.48,39079978.52551742
2012-01-20,42080996.56,38208992.64249296
2012-01-27,39834974.67,42508171.8273032
2012-02-03,46085608.09,47348091.16639263
2012-02-10,50009407.92,49259774.62094496
2012-02-17,50197056.96,48362464.16688442
2012-02-24,45771506.57,46905858.221121304
2012-03-02,46861034.97,46345824.84479554
2012-03-09,47480454.11,46333536.43826168
2012-03-16,46901504.94,46090850.435320176
2012-03-23,44993794.45,45805360.29741995
2012-03-30,45272862.02,46207678.26458668
2012-04-06,53502315.87,47215881.10444427
2012-04-13,46629261.410000004,47736409.18764394
2012-04-20,45072529.78,47002157.33457795
2012-04-27,43716798.89,45668826.399650745
2012-05-04,47124197.93,45163541.935831055
2012-05-11,46925878.99,46054736.114183344
2012-05-18,46823939.22,47468075.001312956
2012-05-25,47892463.31,48212854.3625363
2012-06-01,48281649.72,48135248.43084085
2012-06-08,49651171.78,48042693.90186362
2012-06-15,48412110.7,48459600.30418652
2012-06-22,47668284.97,48918253.71593357
2012-06-29,46597112.12,48649602.064789705
2012-07-06,51253021.88,47652368.08219641
2012-07-13,46099732.1,46705895.491223626
2012-07-20,46059543.45,46396947.86465759
2012-07-27,44097154.97,46534060.55284358
2012-08-03,47485899.56,46676418.3594979
2012-08-10,47403451.04,46881886.07314626
2012-08-17,47354452.05,47490667.81569312
2012-08-24,47447323.6,48236859.54929151
2012-08-31,47159639.43,48124990.12388202
2012-09-07,48330059.31,46576193.46161069
2012-09-14,44226038.65,44466526.757782154
2012-09-21,44354547.11,43487355.395328455
2012-09-28,43734899.4,44303250.253872074
2012-10-05,47566639.31,45721132.15644963
2012-10-12,46128514.25,46070925.66622569
2012-10-19,45122410.57,45257049.43707515
2012-10-26,45544116.29,44936452.53369358
